subject,course,class,term,question,strongly disagree,disagree,neutral,agree,strongly agree,n/a
cse,1223,26319,au18,q1,0,0,13,63,25,0
cse,1223,26319,au18,q2,0,0,9,44,47,0
cse,1223,26319,au18,q3,0,0,3,22,75,0
cse,1223,26319,au18,q4,0,0,3,19,78,0
cse,1223,26319,au18,q5,0,0,13,25,63,0
cse,1223,26319,au18,q6,0,0,6,16,78,0
cse,1223,26319,au18,q7,0,0,9,28,63,0
cse,1223,26319,au18,q8,0,3,3,31,63,0
cse,1223,26319,au18,q9,0,3,9,28,59,0
cse,1223,26319,au18,q10,0,0,6,25,69,0
cse,1223,26319,sp19,q1,3,3,3,23,68,0
cse,1223,26319,sp19,q2,3,3,3,23,68,0
cse,1223,26319,sp19,q3,3,0,3,13,81,0
cse,1223,26319,sp19,q4,3,0,3,16,77,0
cse,1223,26319,sp19,q5,3,0,3,19,74,0
cse,1223,26319,sp19,q6,3,0,3,10,84,0
cse,1223,26319,sp19,q7,3,3,0,19,74,0
cse,1223,26319,sp19,q8,3,3,0,23,68,3
cse,1223,26319,sp19,q9,3,3,3,16,74,0
cse,1223,26319,sp19,q10,0,3,0,13,83,0
cse,1223,26319,au19,q1,0,0,4,35,61,0
cse,1223,26319,au19,q2,0,4,4,39,52,0
cse,1223,26319,au19,q3,0,0,0,13,87,0
cse,1223,26319,au19,q4,0,0,0,17,83,0
cse,1223,26319,au19,q5,0,0,4,17,78,0
cse,1223,26319,au19,q6,0,0,0,4,96,0
cse,1223,26319,au19,q7,0,0,4,17,78,0
cse,1223,26319,au19,q8,0,0,0,13,87,0
cse,1223,26319,au19,q1,0,0,0,9,91,0
cse,1223,26319,au19,q9,0,0,0,22,78,0
